Year,Brand,Model,kms_droved,Fuel_type,vehicle_type,No.Of_Owners,Price
2020,KIA,SELTOS,"4,765",Petrol,Manual,1st Owner,
2018,Hyundai,Grand,"5,505",Petrol,Manual,1st Owner,"₹5,30,000"
2021,KIA,SELTOS,"5,500",Petrol,Manual,1st Owner,
2019,Maruti,Swift,"14,097",Petrol,Manual,1st Owner,"₹5,41,000"
2020,Maruti,Swift,"12,421",Petrol,Manual,1st Owner,"₹5,62,000"
2020,Maruti,Swift,"16,633",Petrol,Manual,2nd Owner,"₹5,52,000"
2018,Hyundai,Grand,"12,582",Petrol,Manual,2nd Owner,"₹5,00,000"
2018,Hyundai,Grand,"26,383",Petrol,Manual,1st Owner,"₹4,90,000"
2020,Maruti,Swift,"36,522",Petrol,Manual,2nd Owner,"₹5,12,000"
2021,Hyundai,AURA,"5,296",Petrol,Manual,1st Owner,"₹6,62,000"
2018,Hyundai,Grand,"20,124",Petrol,Manual,1st Owner,"₹5,29,000"
2021,KIA,SONET,"6,255",Petrol,Automatic,1st Owner,
2014,Mercedes,Benz,"38,381",Petrol,Automatic,1st Owner,
2020,Maruti,Swift,"3,192",Petrol,Manual,1st Owner,"₹6,46,000"
2020,Maruti,Swift,"38,580",Petrol,Manual,1st Owner,"₹5,10,000"
2020,Maruti,Swift,"20,792",Petrol,Manual,1st Owner,"₹6,37,000"
2017,Maruti,Baleno,"26,452",Petrol,Manual,2nd Owner,"₹4,73,000"
2021,Renault,Kiger,"47,124",Petrol,Automatic,1st Owner,"₹7,12,000"
2019,Datsun,Redi,"21,787",Petrol,Manual,1st Owner,"₹2,85,000"
2020,KIA,SELTOS,"10,617",Petrol,Manual,1st Owner,
2012,Maruti,A,"74,026",Petrol,Manual,2nd Owner,"₹2,62,000"
2018,Datsun,Redi,"33,552",Petrol,Manual,1st Owner,"₹2,73,000"
2021,Maruti,Celerio,"10,518",Petrol,Manual,1st Owner,"₹5,15,000"
2020,Maruti,Swift,"18,235",Petrol,Manual,1st Owner,"₹5,68,000"
2022,Skoda,KUSHAQ,"2,696",Petrol,,1st Owner,
2021,KIA,SONET,"7,115",Petrol,Automatic,1st Owner,
2022,Hyundai,VENUE,"9,463",Petrol,Manual,1st Owner,
2022,Renault,Kiger,"2,404",Petrol,,1st Owner,
2018,Datsun,Redi,"22,237",Petrol,Manual,1st Owner,"₹2,77,000"
2019,KIA,SELTOS,"19,173",Petrol,Manual,1st Owner,
2021,Maruti,Swift,"4,888",Petrol,Manual,1st Owner,"₹6,09,000"
2015,Maruti,Alto,"28,273",Petrol,Manual,1st Owner,"₹2,96,000"
2013,Jaguar,XF,"29,159",Diesel,Automatic,2nd Owner,
2019,Maruti,Swift,"36,455",Petrol,Manual,1st Owner,"₹5,28,000"
2011,Maruti,Alto,"30,834",Petrol,Manual,2nd Owner,"₹2,28,000"
2019,Maruti,Swift,"45,291",Petrol,Manual,1st Owner,"₹5,46,000"
2019,KIA,SELTOS,"25,687",Petrol,Manual,1st Owner,
2013,Hyundai,Grand,"14,057",Petrol,Manual,2nd Owner,"₹3,38,000"
2019,Maruti,New,"3,619",Petrol,Manual,1st Owner,"₹5,07,000"
2020,Maruti,New,"4,793",Petrol,Manual,1st Owner,"₹5,00,000"
2021,Hyundai,NEW,"6,090",Petrol,,1st Owner,
2013,Maruti,Wagon,"59,452",Petrol,Manual,2nd Owner,"₹3,10,000"
2021,Hyundai,NEW,"2,867",Petrol,,1st Owner,"₹7,57,000"
2019,Tata,NEXON,"20,950",Petrol,Manual,1st Owner,"₹7,19,000"
2019,KIA,SELTOS,"24,991",Petrol,Manual,1st Owner,
2021,Hyundai,AURA,"26,468",Petrol,Manual,1st Owner,"₹6,50,000"
2022,Hyundai,VENUE,"15,101",Petrol,Manual,1st Owner,
2011,Hyundai,i10,"45,437",Petrol,Manual,1st Owner,"₹2,72,000"
2011,Maruti,Wagon,"28,971",Petrol,Manual,1st Owner,"₹2,72,000"
2011,Hyundai,i10,"72,404",Petrol,Manual,1st Owner,"₹2,83,000"
2017,Hyundai,Verna,"51,625",Petrol,Manual,1st Owner,"₹6,86,000"
2020,Maruti,Baleno,"10,956",Petrol,Manual,2nd Owner,"₹6,04,000"
2022,Toyota,URBAN,"4,229",Petrol,,1st Owner,
2022,Honda,City,"4,502",Petrol,Manual,1st Owner,
2014,Honda,Brio,"82,621",Petrol,Manual,2nd Owner,"₹2,85,000"
2021,Maruti,Celerio,"56,772",Petrol,Manual,1st Owner,"₹5,30,000"
2020,Datsun,Go,"13,846",Petrol,Manual,1st Owner,"₹5,45,000"
2020,Maruti,Swift,"21,463",Petrol,Automatic,2nd Owner,"₹6,48,000"
2022,Hyundai,VENUE,"3,091",Petrol,Manual,1st Owner,
2016,Maruti,Wagon,"45,735",Petrol,Manual,1st Owner,"₹3,51,000"
2012,Maruti,Swift,"29,410",Petrol,Manual,2nd Owner,"₹3,60,000"
2022,Honda,Amaze,"3,200",Petrol,Manual,1st Owner,
2019,Datsun,Redi,"15,528",Petrol,Manual,1st Owner,"₹2,95,000"
2021,Maruti,Vitara,"14,399",Petrol,Manual,1st Owner,
2012,Hyundai,i10,"28,619",Petrol,Manual,1st Owner,"₹2,44,000"
2022,Maruti,New,"3,028",Petrol,Manual,2nd Owner,"₹5,42,000"
2009,Maruti,A,"47,542",Petrol,Manual,1st Owner,"₹1,85,000"
2014,Hyundai,Eon,"34,229",Petrol,Manual,1st Owner,"₹3,02,000"
2014,Maruti,Alto,"28,612",Petrol,Manual,1st Owner,"₹2,65,000"
2016,Maruti,Alto,"12,769",Petrol,Manual,1st Owner,"₹3,03,000"
2020,KIA,SELTOS,"18,469",Petrol,Automatic,1st Owner,
2011,Maruti,Wagon,"41,881",Petrol,Manual,1st Owner,"₹2,52,000"
2021,Maruti,New,"9,521",Petrol,Manual,1st Owner,"₹5,15,000"
2020,Maruti,New,"7,292",Petrol,Manual,1st Owner,"₹5,50,000"
2012,Hyundai,i10,"30,492",Petrol,Manual,1st Owner,"₹2,46,000"
2015,Maruti,Wagon,"70,404",Petrol,Manual,2nd Owner,"₹2,90,000"
2020,Hyundai,AURA,"63,337",Petrol + CNG,Manual,1st Owner,"₹7,39,000"
2021,Hyundai,AURA,"34,469",Petrol + CNG,Manual,1st Owner,"₹7,81,000"
2019,Maruti,New,"9,145",Petrol,Manual,1st Owner,"₹5,29,000"
2011,Honda,Accord,"63,041",Petrol,Manual,1st Owner,"₹4,94,000"
2021,Hyundai,Creta,"17,032",Petrol,Manual,1st Owner,
2015,Maruti,Wagon,"58,893",Petrol,Manual,1st Owner,"₹3,33,000"
2017,Hyundai,Elite,"32,935",Petrol,Manual,1st Owner,"₹5,89,000"
2014,Maruti,Wagon,"11,221",Petrol,Manual,1st Owner,"₹3,45,000"
2022,Maruti,Celerio,"1,872",Petrol,,1st Owner,"₹7,16,000"
2014,Maruti,Wagon,"23,371",Petrol,Manual,1st Owner,"₹3,30,000"
2021,Toyota,URBAN,"6,972",Petrol,,1st Owner,
2022,Renault,Kwid,"3,303",Petrol,Automatic,1st Owner,"₹5,84,000"
2014,Maruti,Wagon,"32,779",Petrol,Manual,1st Owner,"₹3,23,000"
2019,Maruti,Swift,"29,947",Petrol,Manual,1st Owner,"₹5,90,000"
2021,Honda,City,"5,752",Petrol,Manual,1st Owner,
2017,Hyundai,Eon,"62,969",Petrol,Manual,2nd Owner,"₹2,62,000"
2020,Maruti,New,"10,657",Petrol,Manual,2nd Owner,"₹5,24,000"
2013,Maruti,Swift,"26,065",Petrol,Manual,1st Owner,"₹3,77,000"
2022,Honda,City,"1,685",Petrol,Automatic,1st Owner,
2019,Maruti,New,"9,229",Petrol,Manual,2nd Owner,"₹5,14,000"
2014,Maruti,Alto,"57,971",Petrol,Manual,1st Owner,"₹2,58,000"
2011,Hyundai,i10,"56,559",Petrol,Manual,2nd Owner,"₹2,19,000"
2018,Hyundai,Tucson,"33,253",Petrol,Automatic,2nd Owner,
2014,Honda,City,"49,304",Petrol,Manual,1st Owner,"₹6,41,000"
2015,Maruti,Alto,"72,384",Petrol,Manual,1st Owner,"₹2,21,000"
2015,Volkswagen,Polo,"81,516",Petrol,Manual,1st Owner,"₹3,82,000"
2013,Honda,Amaze,"58,239",Petrol,Manual,1st Owner,"₹3,67,000"
2012,Maruti,Alto,"59,976",Petrol,Manual,1st Owner,"₹1,99,000"
2019,Honda,City,"11,895",Petrol,Automatic,1st Owner,
2019,Maruti,Ciaz,"61,867",Petrol,Manual,1st Owner,
2021,Renault,Kwid,"7,336",Petrol,Automatic,2nd Owner,"₹4,89,000"
2021,Renault,Kwid,"6,883",Petrol,Manual,1st Owner,"₹4,74,000"
2019,Honda,Amaze,"28,171",Petrol,Manual,1st Owner,"₹6,02,000"
2021,Renault,Kwid,"16,973",Petrol,Manual,1st Owner,"₹4,08,000"
2018,Renault,Kwid,"47,627",Petrol,Manual,2nd Owner,"₹3,18,000"
2021,Maruti,Swift,"7,906",Petrol,Manual,2nd Owner,"₹6,65,000"
2010,Maruti,Wagon,"67,081",Petrol,Manual,2nd Owner,"₹1,83,000"
2017,Mahindra,Scorpio,"52,999",Diesel,Manual,1st Owner,
2015,Hyundai,Elite,"53,623",Petrol,Manual,1st Owner,"₹5,89,000"
2019,Maruti,Celerio,"6,373",Petrol,Manual,1st Owner,"₹5,21,000"
2020,Maruti,Swift,"35,928",Petrol,Manual,1st Owner,"₹6,15,000"
2014,Honda,City,"83,242",Petrol,Manual,1st Owner,"₹6,30,000"
2019,Renault,Kwid,"8,297",Petrol,Manual,1st Owner,"₹4,57,000"
2014,Honda,City,"61,168",Petrol,Manual,2nd Owner,"₹6,31,000"
2019,Maruti,Baleno,"9,000",Petrol,Manual,1st Owner,"₹6,77,000"
2020,KIA,SELTOS,"36,251",Diesel,Automatic,1st Owner,
2020,KIA,SONET,"11,734",Petrol,,1st Owner,
2020,Renault,Kwid,"10,720",Petrol,Manual,2nd Owner,"₹4,26,000"
2019,Jeep,Compass,"23,690",Petrol,Automatic,1st Owner,
2021,Hyundai,Creta,"14,697",Diesel,Manual,1st Owner,
2013,Hyundai,Grand,"79,166",Petrol,Manual,1st Owner,"₹4,16,000"
2022,Maruti,Alto,"2,037",Petrol,Manual,1st Owner,"₹3,84,200"
2012,Maruti,Swift,"14,105",Petrol,Manual,1st Owner,"₹3,88,000"
2022,Maruti,Swift,"7,638",Petrol,Manual,1st Owner,"₹6,85,000"
2019,Maruti,Baleno,"19,276",Petrol,Manual,1st Owner,"₹5,77,000"
2015,Maruti,Alto,"23,271",Petrol,Manual,1st Owner,"₹2,80,000"
2019,Maruti,Baleno,"8,522",Petrol,,2nd Owner,"₹6,61,000"
2015,Maruti,Baleno,"28,797",Petrol,Manual,1st Owner,"₹5,68,000"
2014,Maruti,Alto,"70,821",Petrol,Manual,1st Owner,"₹2,61,000"
2020,KIA,SONET,"12,456",Petrol,,1st Owner,
2018,Toyota,YARIS,"14,652",Petrol,Manual,1st Owner,"₹7,78,000"
2016,Maruti,Celerio,"57,337",Petrol,Automatic,1st Owner,"₹4,13,000"
2021,Maruti,New,"4,970",Petrol + CNG,Manual,1st Owner,"₹6,79,000"
2013,Honda,Brio,"35,900",Petrol,Manual,1st Owner,"₹2,96,000"
2015,Maruti,Ertiga,"50,143",Petrol,Manual,2nd Owner,"₹6,04,000"
2014,Honda,Amaze,"27,324",Petrol,Manual,1st Owner,"₹4,31,000"
2014,Maruti,Swift,"38,606",Petrol,Manual,2nd Owner,"₹4,07,000"
2019,Honda,Jazz,"8,594",Petrol,Automatic,2nd Owner,
2019,Renault,Kwid,"13,045",Petrol,Manual,1st Owner,"₹3,63,000"
2020,Maruti,Alto,"2,219",Petrol,Manual,1st Owner,"₹3,48,000"
2020,KIA,SELTOS,"41,825",Diesel,Automatic,1st Owner,
2021,Maruti,Swift,"5,109",Petrol,Automatic,2nd Owner,"₹7,02,000"
2021,Maruti,Alto,"2,132",Petrol,Manual,1st Owner,"₹3,94,000"
2015,Honda,City,"76,436",Petrol + CNG,Automatic,2nd Owner,"₹7,02,000"
2013,Maruti,Alto,"24,093",Petrol,Manual,2nd Owner,"₹2,35,200"
2021,Renault,Kwid,"11,332",Petrol,Automatic,1st Owner,"₹5,01,000"
2013,Honda,Brio,"26,749",Petrol,Manual,1st Owner,"₹3,26,000"
2021,KIA,SONET,"14,863",Diesel,,1st Owner,
2016,Maruti,Baleno,"18,856",Petrol,Manual,1st Owner,"₹4,79,000"
2020,Toyota,URBAN,"22,874",Petrol,,2nd Owner,
2020,Toyota,URBAN,"44,379",Petrol,,1st Owner,
2019,Maruti,New,"19,253",Petrol,Manual,1st Owner,"₹4,94,000"
2011,Maruti,Wagon,"47,706",Petrol,Manual,2nd Owner,"₹2,61,000"
2014,Maruti,Wagon,"25,858",Petrol,Manual,1st Owner,"₹3,31,000"
2021,Maruti,New,"3,595",Petrol,Manual,1st Owner,"₹5,53,000"
2018,Honda,City,"28,267",Petrol,Manual,1st Owner,
2019,Honda,City,"70,173",Petrol,Automatic,1st Owner,
2012,Maruti,Alto,"71,273",Petrol,Manual,1st Owner,"₹1,92,000"
2012,Honda,Brio,"42,454",Petrol,Manual,1st Owner,"₹2,96,000"
2012,Maruti,Alto,"18,288",Petrol,Manual,1st Owner,"₹2,31,000"
2021,Maruti,New,"3,897",Petrol,Manual,1st Owner,"₹5,48,000"
2021,Renault,Kwid,"11,546",Petrol,Manual,1st Owner,"₹4,98,000"
2022,Maruti,New,"8,701",Petrol,Manual,1st Owner,"₹5,82,000"
2018,Datsun,Redi,"5,892",Petrol,Automatic,1st Owner,"₹4,13,000"
2014,Honda,Amaze,"66,473",Petrol,Manual,1st Owner,"₹3,91,000"
2021,Datsun,Redi,"7,328",Petrol,Manual,1st Owner,"₹4,20,000"
2019,Maruti,New,"16,027",Petrol,Manual,1st Owner,"₹5,14,000"
2019,Hyundai,NEW,"14,334",Petrol,Manual,1st Owner,"₹4,58,000"
2010,Maruti,Alto,"52,037",Petrol,Manual,1st Owner,"₹2,06,000"
2016,Maruti,Alto,"67,618",Petrol,Manual,1st Owner,"₹2,61,000"
2015,Maruti,Wagon,"29,947",Petrol,Manual,1st Owner,"₹3,29,000"
2020,Maruti,Baleno,"10,914",Petrol,,1st Owner,"₹6,38,000"
2017,Hyundai,Grand,"19,318",Petrol,Manual,1st Owner,"₹4,87,000"
2021,Maruti,New,"3,339",Petrol,Manual,1st Owner,"₹6,02,000"
2018,Renault,Kwid,"53,629",Petrol,Manual,1st Owner,"₹3,20,000"
2018,Hyundai,Elite,"24,582",Petrol,Manual,1st Owner,"₹5,74,000"
2010,Toyota,Corolla,"45,566",Petrol,Manual,1st Owner,"₹3,15,000"
2020,Hyundai,Creta,"19,090",Petrol,Automatic,1st Owner,
2021,Maruti,Baleno,"3,719",Petrol,,1st Owner,"₹7,96,000"
2012,Maruti,Swift,"61,580",Petrol,Manual,1st Owner,"₹3,61,000"
2021,Maruti,New,"56,049",Petrol + CNG,Manual,1st Owner,"₹6,20,000"
2018,Hyundai,Grand,"30,844",Petrol,Manual,1st Owner,"₹4,39,000"
2020,Renault,Kwid,"12,081",Petrol,Manual,1st Owner,"₹3,93,000"
2019,Maruti,New,"13,184",Petrol,Manual,1st Owner,"₹5,15,000"
2017,Honda,City,"70,136",Petrol,Manual,1st Owner,"₹7,98,000"
